census_geoid,fp_100_cost_burden,fp_500_cost_burden,fp_100_cost_burden_value,fp_500_cost_burden_value,fp_100_rent_burden,fp_500_rent_burden,fp_100_rent_burden_value,fp_500_rent_burden_value,fp_100_mhhi,fp_500_mhhi,fp_100_permortg,fp_500_permortg,fp_100_mortg_value,fp_500_mortg_value,fp_100_ownerocc,fp_500_ownerocc,fp_100_ownerocc_value,fp_500_ownerocc_value,fp_100_pop,fp_500_pop
101,28.3,28.3,1603.0,1968.0,31.9,31.7,5481.0,6163.0,178707.0,178430.0,66.6,64.4,3775.0,4481.0,20.2,21.7,5664.0,6959.0,16733.0,29865.0
102,25.7,25.5,638.0,902.0,33.9,39.7,1234.0,2164.0,149113.0,135020.0,54.2,54.6,1346.0,1931.0,33.2,32.1,2482.0,3537.0,5038.0,10198.0
103,16.5,17.2,343.0,493.0,48.1,47.5,8547.0,11735.0,27269.0,29793.0,36.1,40.1,749.0,1147.0,10.0,9.9,2076.0,2859.0,32294.0,47273.0
104,26.0,24.5,429.0,503.0,40.9,42.1,5996.0,6944.0,112455.0,107978.0,51.6,54.9,852.0,1125.0,8.5,9.3,1652.0,2049.0,2957.0,9609.0
106,17.5,17.0,294.0,340.0,43.1,45.5,3636.0,5233.0,126784.0,119382.0,39.1,41.2,658.0,823.0,14.6,13.0,1683.0,1997.0,9455.0,14820.0
107,18.2,18.8,631.0,654.0,42.0,40.5,2439.0,2649.0,130809.0,133462.0,53.9,53.6,1865.0,1865.0,31.3,29.4,3458.0,3481.0,1436.0,1436.0
108,29.0,25.1,830.0,894.0,45.8,45.9,5010.0,5415.0,95578.0,98100.0,52.5,53.9,1505.0,1918.0,18.2,20.3,2866.0,3557.0,7223.0,10647.0
109,13.4,13.4,122.0,122.0,53.2,53.2,3528.0,3528.0,48976.0,48976.0,55.1,55.1,501.0,501.0,11.4,11.4,910.0,910.0,0.0,0.0
110,19.9,18.8,110.0,130.0,42.5,47.3,1628.0,2766.0,41128.0,38027.0,16.4,28.3,91.0,196.0,12.1,10.1,554.0,693.0,2372.0,7880.0
111,12.2,13.7,149.0,241.0,45.8,46.2,8842.0,12541.0,36712.0,33720.0,30.1,37.5,368.0,660.0,5.5,5.7,1223.0,1759.0,32448.0,56674.0
