census_geoid,pct_,pct_black_nh,moe_unemployment_boro,unemployment_boro,moe_unemployment,unemployment,moe_unemployment_nyc,unemployment_nyc,moe_bach_deg_boro,pct_bach_deg_boro,moe_bach_deg,pct_bach_deg,moe_bach_deg_nyc,pct_bach_deg_nyc,moe_foreign_born,pct_foreign_born,female_under_5,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_5_9,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_over,moe_hh_rent_burd_boro,pct_hh_rent_burd_boro,moe_hh_rent_burd,pct_hh_rent_burd,moe_hh_rent_burd_nyc,pct_hh_rent_burd_nyc,pct_hispanic,moe_mean_commute_boro,mean_commute_boro,moe_mean_commute,mean_commute,moe_mean_commute_nyc,mean_commute_nyc,male_under_5,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_5_9,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_over,moe_over65_rate_boro,over65_rate_boro,moe_over65_rate,over65_rate,moe_over65_rate_nyc,over65_rate_nyc,pop_acs_boro,pop_acs,pop_acs_nyc,moe_under18_rate_boro,under18_rate_boro,moe_under18_rate,under18_rate,moe_under18_rate_nyc,under18_rate_nyc,pct_white_nh,pop_dec
101,20.9,3.2,,,0.5,2.7,,,,,1.2,78.8,,,1.5,28.1,3.6,1.4,1.7,3.9,6.3,6.6,5.3,4.2,3.3,2.4,2.3,2.2,2.3,1.7,1.3,0.6,0.7,1.1,,,2.2,28.4,,,7.0,,,1.2,26.1,,,3.7,1.9,1.4,3.0,5.4,6.1,5.3,4.6,3.7,2.7,2.4,2.6,2.2,1.5,1.0,0.7,0.3,0.6,,,0.7,9.5,,,,75100.0,,,,1.1,16.7,,,64.8,68163.0
102,14.1,1.9,,,0.5,2.9,,,,,1.4,80.4,,,1.3,21.5,1.9,0.8,2.8,3.7,7.7,6.1,4.0,2.9,2.5,2.3,2.7,1.5,2.9,2.9,2.2,1.4,1.0,1.6,,,2.2,33.4,,,6.3,,,1.0,24.9,,,1.7,1.1,2.0,2.7,6.0,6.5,5.2,2.9,3.5,2.9,3.0,1.0,3.2,2.5,1.6,1.2,1.0,1.1,,,1.0,16.5,,,,88480.0,,,,0.8,9.4,,,74.4,90016.0
103,30.6,8.4,,,0.4,3.6,,,,,1.2,43.3,,,1.1,34.5,1.5,1.5,2.9,4.2,6.4,4.1,3.2,3.0,3.2,2.8,3.3,1.2,3.4,2.9,2.1,1.6,1.6,2.1,,,1.8,38.4,,,25.1,,,1.3,31.3,,,1.5,1.8,2.5,3.7,6.2,5.6,3.9,2.9,3.3,3.0,2.8,1.6,2.5,2.3,2.0,1.3,1.0,1.0,,,0.7,17.9,,,,154995.0,,,,0.8,11.4,,,33.3,164937.0
104,16.7,6.3,,,0.6,3.6,,,,,1.4,71.2,,,1.5,31.8,2.0,1.0,1.1,3.9,6.7,6.8,3.9,3.0,2.9,2.2,2.9,0.9,2.9,2.3,2.3,1.8,0.6,1.1,,,2.1,33.6,,,18.8,,,1.2,27.8,,,1.7,1.1,1.0,3.2,6.6,7.1,5.1,4.9,4.0,3.8,3.6,1.1,3.0,2.3,1.3,1.1,0.7,0.4,,,0.8,13.8,,,,129797.0,,,,0.7,8.8,,,55.2,117859.0
105,19.2,3.3,,,0.6,3.2,,,,,1.4,82.3,,,1.4,26.4,1.9,0.8,3.1,4.9,8.3,6.2,4.5,2.9,2.5,2.8,3.1,1.3,2.5,2.0,1.6,1.1,0.9,1.1,,,2.3,33.2,,,7.3,,,1.1,24.0,,,1.6,0.8,1.4,3.4,7.5,7.2,4.4,3.5,3.0,2.8,3.0,0.8,2.2,2.5,1.5,1.2,0.8,0.8,,,0.9,13.6,,,,76405.0,,,,1.0,8.4,,,67.5,78579.0
106,17.7,3.7,,,0.4,2.5,,,,,1.2,80.3,,,1.2,24.9,1.8,0.9,2.1,4.8,8.4,5.5,3.7,3.1,2.5,3.0,2.6,1.2,3.2,2.9,2.8,1.8,1.3,1.6,,,2.2,35.2,,,7.4,,,1.1,27.5,,,1.9,1.0,1.2,4.0,7.1,5.7,3.9,2.7,3.0,2.4,2.9,1.0,2.2,2.5,1.8,1.3,1.1,1.0,,,0.8,18.0,,,,159623.0,,,,0.9,9.0,,,68.2,165052.0
107,9.3,6.1,,,0.4,3.3,,,,,1.0,75.3,,,1.1,22.9,2.6,2.1,1.5,2.6,4.7,5.2,4.0,4.0,3.4,3.5,3.5,2.3,3.6,3.8,3.2,1.8,1.3,1.9,,,1.9,32.3,,,15.9,,,1.1,32.4,,,2.8,1.8,1.4,1.4,4.1,4.3,3.4,3.2,3.3,3.3,2.7,1.8,3.0,2.7,2.3,1.1,0.9,1.3,,,0.7,20.4,,,,212034.0,,,,0.8,15.2,,,65.9,211073.0
108,10.2,2.3,,,0.3,2.0,,,,,1.2,80.5,,,1.4,23.6,2.4,1.6,1.1,2.3,7.0,6.9,4.2,3.2,3.3,3.3,3.0,2.3,2.9,3.5,3.0,2.5,1.6,1.8,,,2.0,32.5,,,9.7,,,1.1,31.4,,,2.9,1.8,1.3,1.5,3.6,4.7,3.9,2.8,3.0,3.0,2.7,1.9,2.5,2.4,1.9,1.6,1.2,1.4,,,0.7,20.8,,,,215449.0,,,,0.9,14.6,,,75.3,219920.0
109,8.3,22.6,,,0.6,3.8,,,,,1.6,43.9,,,1.5,34.9,2.2,1.8,4.1,7.0,6.4,4.3,3.6,2.4,2.9,3.2,2.1,2.1,2.6,1.8,1.6,1.5,1.3,1.1,,,2.3,45.4,,,40.0,,,1.9,36.7,,,2.3,2.3,3.4,5.8,6.6,4.8,3.2,2.4,2.9,2.9,2.4,2.1,2.3,1.6,0.7,0.8,0.6,0.5,,,0.6,11.5,,,,112573.0,,,,0.9,15.5,,,25.6,110193.0
110,3.3,53.2,,,0.6,6.2,,,,,1.2,39.0,,,1.3,24.7,3.4,2.7,2.4,3.7,6.1,5.6,4.4,3.2,3.6,3.9,3.2,2.6,2.7,2.0,1.5,0.8,1.0,1.3,,,1.7,39.0,,,26.0,,,1.5,37.4,,,3.5,2.4,2.2,3.6,5.1,4.3,3.6,3.2,3.1,3.8,2.5,2.7,2.3,1.4,0.9,0.8,0.2,0.2,,,0.5,10.1,,,,147194.0,,,,1.0,20.3,,,14.4,127592.0
111,7.6,31.6,,,0.6,5.2,,,,,1.3,31.3,,,1.2,23.5,2.8,2.6,3.2,4.0,4.9,4.3,4.2,3.5,3.4,3.5,3.5,2.5,2.9,2.3,1.6,1.7,1.2,1.4,,,1.8,38.5,,,44.9,,,1.8,35.5,,,2.9,3.2,3.1,4.0,5.2,4.2,3.2,2.8,2.4,3.2,2.4,2.8,2.4,1.5,1.0,0.8,0.5,0.7,,,0.5,12.8,,,,128205.0,,,,1.1,20.4,,,13.7,120511.0
112,3.2,7.2,,,0.6,6.0,,,,,1.0,33.9,,,1.3,46.7,2.6,2.1,2.4,3.6,5.6,4.8,3.7,3.0,3.2,3.0,3.1,2.3,3.1,2.5,2.0,1.6,1.0,1.6,,,1.6,43.3,,,68.5,,,1.7,41.0,,,2.7,2.4,2.3,3.9,6.1,5.2,4.0,3.3,3.1,2.9,2.8,2.4,2.3,2.0,1.3,1.0,0.7,0.6,,,0.5,14.2,,,,208994.0,,,,0.8,17.1,,,19.5,190020.0
164,,66.7,,,,,,,,,,,,,,,33.3,,33.3,,,,33.3,,,,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,62.9,33.3,,,,25.0
201,0.5,28.8,,,0.8,6.4,,,,,1.0,11.3,,,1.6,29.3,3.6,3.5,4.2,4.3,4.1,4.1,3.7,3.2,3.5,3.2,2.7,4.4,2.2,1.5,1.3,1.1,0.9,1.0,,,2.1,49.4,,,67.3,,,2.5,42.5,,,4.6,4.2,3.7,4.4,4.4,3.8,3.2,2.2,2.5,2.7,2.4,4.5,1.6,0.9,1.1,0.8,0.3,0.1,,,0.5,9.0,,,,101542.0,,,,1.3,29.7,,,2.1,96907.0
202,1.1,28.4,,,0.8,6.4,,,,,1.2,14.2,,,1.8,34.6,3.3,3.4,3.8,3.3,4.5,4.6,4.1,2.9,3.5,3.3,2.6,3.5,2.1,1.8,1.3,1.1,0.8,0.8,,,2.5,53.8,,,67.7,,,2.9,44.9,,,4.6,4.0,3.8,4.5,4.4,4.2,3.1,2.5,2.7,2.8,2.8,4.1,2.0,1.1,0.8,0.8,0.3,0.3,,,0.6,9.2,,,,70144.0,,,,1.2,27.5,,,1.9,68783.0
203,0.8,35.8,,,0.7,6.6,,,,,1.1,14.1,,,1.3,31.7,4.4,4.0,3.7,3.9,4.8,4.2,4.0,3.1,3.5,3.1,3.4,4.0,2.3,1.9,1.5,0.9,0.6,0.7,,,2.0,48.0,,,61.0,,,2.6,43.9,,,4.5,3.8,3.6,3.9,4.4,2.9,2.7,2.4,2.6,2.7,2.8,4.0,2.1,1.4,0.8,0.8,0.4,0.2,,,0.5,9.2,,,,110290.0,,,,1.1,29.1,,,1.2,100062.0
204,1.3,28.7,,,0.6,6.4,,,,,1.0,15.8,,,1.3,42.7,3.5,4.3,3.7,3.9,4.2,3.9,3.5,3.7,3.4,3.7,3.0,4.1,2.5,1.9,1.6,1.0,0.7,0.8,,,1.7,54.0,,,66.2,,,1.8,41.9,,,3.5,3.7,4.1,4.1,3.9,3.5,3.0,3.0,3.0,2.8,2.7,3.7,2.0,1.3,0.9,0.6,0.4,0.3,,,0.5,9.7,,,,161994.0,,,,1.0,27.7,,,1.9,157142.0
205,1.1,26.6,,,0.7,7.3,,,,,0.9,11.8,,,1.3,42.3,4.8,3.7,4.0,4.4,4.9,3.8,3.7,3.1,3.6,3.9,2.8,3.6,2.2,1.9,1.3,1.0,0.4,0.4,,,1.7,58.2,,,69.8,,,1.9,43.5,,,4.3,3.6,3.9,4.2,4.5,3.4,2.8,2.5,2.4,3.5,2.4,4.2,1.7,1.3,1.0,0.5,0.2,0.2,,,0.4,8.2,,,,137213.0,,,,1.0,28.9,,,1.3,134249.0
206,1.3,27.0,,,0.8,8.4,,,,,1.1,12.6,,,1.5,32.6,4.8,3.5,4.3,5.3,4.6,3.7,3.4,3.1,3.1,3.3,2.6,3.5,2.1,1.9,1.5,0.9,0.7,0.6,,,2.0,55.1,,,64.3,,,2.4,44.4,,,3.7,4.1,4.7,4.6,4.8,3.0,2.4,2.4,2.5,2.8,2.4,4.0,1.9,1.4,1.0,0.9,0.3,0.3,,,0.5,9.6,,,,108893.0,,,,1.2,28.3,,,6.1,106379.0
207,5.3,15.3,,,0.7,7.2,,,,,0.9,17.0,,,1.5,44.0,4.5,3.5,3.6,4.0,4.5,4.3,3.6,2.8,3.1,3.5,2.9,3.4,2.7,1.8,1.6,0.9,0.7,0.7,,,1.7,53.8,,,70.5,,,2.0,45.0,,,4.2,3.4,3.6,4.0,4.7,4.5,3.2,2.7,3.0,2.8,2.3,3.1,2.3,1.4,1.0,0.7,0.4,0.3,,,0.5,9.6,,,,169448.0,,,,1.0,25.9,,,6.6,162603.0
208,4.1,12.7,,,0.6,5.0,,,,,1.2,40.9,,,1.7,33.3,3.1,2.2,2.3,3.2,3.7,3.9,3.5,3.0,3.4,3.3,3.2,3.0,3.4,3.2,2.3,2.3,1.5,2.7,,,2.3,45.1,,,47.6,,,2.2,46.4,,,3.8,2.6,2.7,3.0,3.7,3.5,2.8,3.0,3.1,2.5,2.8,3.1,2.4,2.8,1.6,1.3,1.0,1.0,,,0.7,19.7,,,,108180.0,,,,1.0,20.6,,,33.2,104965.0
209,6.6,29.1,,,0.5,6.0,,,,,0.9,17.2,,,1.2,32.7,3.3,3.4,2.9,4.1,4.3,3.8,3.8,3.2,3.5,3.7,3.4,3.0,3.1,2.4,1.8,1.5,0.9,0.9,,,1.7,49.0,,,59.1,,,1.9,46.2,,,3.9,3.3,3.2,3.9,4.2,3.5,3.0,2.4,3.3,2.7,2.5,4.0,2.3,1.6,1.3,1.0,0.6,0.3,,,0.5,12.4,,,,189209.0,,,,0.8,24.6,,,2.7,182084.0
210,5.2,23.2,,,0.6,4.3,,,,,1.3,27.0,,,1.3,22.4,2.9,2.4,2.5,2.9,4.1,3.3,3.8,3.0,3.6,3.7,3.4,2.5,3.7,3.0,2.6,2.4,1.5,2.3,,,2.7,40.2,,,42.8,,,2.5,44.6,,,2.8,3.0,2.7,3.5,2.8,2.9,3.0,3.6,3.0,3.1,2.7,2.8,3.1,2.2,2.0,1.3,1.1,0.7,,,0.8,19.0,,,,130526.0,,,,1.1,19.4,,,26.4,126951.0
211,7.5,21.7,,,0.6,6.0,,,,,1.0,24.0,,,1.2,33.9,2.9,2.8,2.9,3.4,4.4,3.9,3.6,3.7,3.1,3.4,3.2,3.0,3.0,2.4,1.6,1.4,1.4,1.6,,,2.1,49.4,,,48.4,,,1.9,43.9,,,3.4,3.0,3.3,2.9,4.5,3.6,3.3,3.5,3.1,3.3,2.9,3.4,2.3,2.0,1.4,1.1,0.7,0.6,,,0.6,14.2,,,,138593.0,,,,1.1,22.6,,,20.5,131750.0
