census_geoid,pct_,pct_black_nh,moe_unemployment_boro,unemployment_boro,moe_unemployment,unemployment,moe_unemployment_nyc,unemployment_nyc,moe_bach_deg_boro,pct_bach_deg_boro,moe_bach_deg,pct_bach_deg,moe_bach_deg_nyc,pct_bach_deg_nyc,moe_foreign_born,pct_foreign_born,female_under_5,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_5_9,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_over,moe_hh_rent_burd_boro,pct_hh_rent_burd_boro,moe_hh_rent_burd,pct_hh_rent_burd,moe_hh_rent_burd_nyc,pct_hh_rent_burd_nyc,pct_hispanic,moe_mean_commute_boro,mean_commute_boro,moe_mean_commute,mean_commute,moe_mean_commute_nyc,mean_commute_nyc,male_under_5,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_5_9,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_over,moe_over65_rate_boro,over65_rate_boro,moe_over65_rate,over65_rate,moe_over65_rate_nyc,over65_rate_nyc,pop_acs_boro,pop_acs,pop_acs_nyc,moe_under18_rate_boro,under18_rate_boro,moe_under18_rate,under18_rate,moe_under18_rate_nyc,under18_rate_nyc,pct_white_nh,pop_dec
212,3.2,60.7,,,0.5,6.0,,,,,1.0,23.9,,,1.1,37.5,3.0,3.0,3.5,3.9,4.7,3.4,3.5,3.2,3.9,3.8,3.8,2.8,3.4,2.5,2.2,2.0,1.1,1.3,,,2.0,48.8,,,27.7,,,2.0,47.8,,,3.0,3.2,3.0,3.7,3.5,2.4,2.6,3.4,2.8,3.0,2.8,3.2,2.7,2.0,1.4,1.1,0.8,0.5,,,0.6,14.9,,,,213735.0,,,,0.9,22.0,,,6.2,198740.0
226,,42.4,,,16.8,13.3,,,,,6.2,8.3,,,6.0,11.6,3.3,1.4,4.4,5.0,10.2,5.8,6.9,,1.4,,4.2,21.9,1.7,,1.7,1.4,1.4,,,,26.4,65.3,,,24.1,,,0.0,0.0,,,8.0,1.4,1.7,1.7,1.7,,3.3,,,,,1.4,4.7,1.4,1.4,1.4,,1.4,,,3.6,10.0,,,,361.0,,,,24.4,43.5,,,4.2,39.0
227,,79.2,,,10.3,11.8,,,,,40.2,45.8,,,48.0,40.3,,5.6,5.6,15.3,12.5,1.4,5.6,,,6.9,,,6.9,,5.6,,,,,,,,,,15.3,,,0.0,0.0,,,,,,6.9,,,,,6.9,,6.9,,,5.6,,8.3,,,,,15.7,19.4,,,,72.0,,,,7.9,5.6,,,5.6,1351.0
228,1.5,61.0,,,2.6,4.8,,,,,4.8,29.5,,,6.2,28.1,3.3,0.6,2.6,2.4,2.0,3.9,4.4,5.2,3.9,3.1,2.4,2.9,6.5,3.0,3.4,3.7,1.9,2.7,,,10.2,40.9,,,23.1,,,9.2,46.5,,,2.4,2.2,5.1,3.3,2.0,2.2,3.2,2.9,3.1,4.2,1.3,0.6,1.8,3.0,2.8,0.7,0.9,0.4,,,1.6,22.4,,,,9439.0,,,,3.9,16.6,,,5.1,9399.0
301,6.3,5.8,,,0.5,4.0,,,,,1.0,47.0,,,0.8,21.5,4.1,2.7,2.3,3.6,7.2,6.2,4.4,2.8,2.2,1.9,2.1,3.2,2.1,1.7,1.1,1.0,0.8,0.9,,,1.5,40.7,,,24.1,,,1.0,34.3,,,4.6,2.9,2.7,2.9,6.5,7.0,4.9,3.0,2.3,2.0,2.0,3.2,1.8,1.6,0.8,0.8,0.3,0.4,,,0.4,9.3,,,,189460.0,,,,0.9,24.0,,,61.3,173083.0
302,10.2,21.3,,,0.4,4.4,,,,,0.8,67.1,,,0.8,19.7,3.2,1.8,2.4,4.1,6.6,6.9,5.2,3.9,3.3,2.5,2.3,2.2,2.5,2.0,1.4,1.0,0.8,0.9,,,1.4,29.9,,,13.6,,,0.9,33.8,,,3.3,1.8,2.0,3.1,6.2,6.2,4.9,3.8,3.4,2.2,2.3,2.1,2.1,1.4,0.8,0.7,0.4,0.4,,,0.4,9.9,,,,163075.0,,,,0.7,16.6,,,50.1,137761.0
303,3.8,53.8,,,0.5,5.4,,,,,1.0,36.3,,,0.9,20.4,3.4,2.6,3.0,4.8,6.4,4.9,4.3,3.1,2.9,3.3,3.2,2.9,2.6,1.9,1.5,1.3,0.9,0.8,,,1.5,44.3,,,18.3,,,1.3,41.6,,,3.7,3.1,2.9,3.9,5.7,4.6,3.4,2.6,2.8,2.4,2.3,3.0,2.0,1.6,1.1,0.6,0.4,0.4,,,0.4,10.4,,,,177099.0,,,,0.9,22.3,,,21.5,162290.0
304,5.4,18.0,,,0.5,5.3,,,,,1.2,28.6,,,1.4,32.6,3.2,2.7,2.7,5.4,6.8,5.0,3.8,2.9,2.5,2.7,2.4,2.8,2.1,1.7,1.4,0.9,0.6,0.6,,,1.9,49.1,,,56.2,,,1.7,41.8,,,3.2,2.8,2.5,5.2,8.2,5.7,3.8,3.2,2.4,2.5,2.0,3.0,1.4,1.3,0.9,0.6,0.6,0.2,,,0.5,8.8,,,,113441.0,,,,1.1,20.9,,,18.3,112634.0
305,3.6,55.2,,,0.4,4.7,,,,,0.8,14.6,,,1.0,35.7,3.9,3.3,3.1,4.0,4.4,4.1,3.7,3.6,4.0,3.7,3.3,3.8,3.1,2.2,1.7,1.1,0.9,1.0,,,1.7,50.8,,,35.6,,,1.7,45.0,,,3.8,3.4,3.3,3.5,3.8,3.1,3.0,2.6,2.5,3.1,2.8,3.6,2.1,1.5,1.1,0.8,0.4,0.5,,,0.4,11.3,,,,190458.0,,,,0.9,25.7,,,3.4,186444.0
306,6.8,9.6,,,0.5,4.2,,,,,0.8,70.8,,,0.8,16.5,3.9,1.9,1.7,2.5,5.5,6.7,5.6,4.2,3.6,2.8,2.4,3.1,2.4,2.1,1.6,1.0,0.8,0.7,,,1.7,27.7,,,16.8,,,1.1,38.0,,,4.3,2.3,1.8,1.5,4.3,5.8,5.1,4.3,3.8,2.6,2.3,2.6,2.0,1.6,1.3,0.7,0.5,0.3,,,0.5,10.7,,,,131528.0,,,,0.8,21.0,,,61.6,117129.0
307,28.6,2.7,,,0.4,3.8,,,,,0.9,35.0,,,1.0,43.3,3.8,2.4,2.5,3.0,5.1,4.9,4.5,3.5,3.4,3.2,2.4,3.3,2.4,1.8,1.2,1.0,0.8,0.8,,,1.8,45.4,,,38.7,,,1.4,43.0,,,3.9,3.1,2.1,2.7,5.2,5.3,4.6,3.8,3.4,3.3,2.5,3.4,2.1,1.8,1.1,0.8,0.7,0.3,,,0.5,10.3,,,,153032.0,,,,0.8,22.8,,,27.6,154947.0
308,4.1,52.8,,,0.5,4.6,,,,,1.2,45.1,,,1.2,29.5,3.1,2.5,2.2,3.6,6.7,6.0,4.3,3.7,3.2,3.6,3.1,2.2,2.7,2.3,1.7,1.2,0.7,1.1,,,1.8,41.8,,,12.0,,,1.5,41.2,,,3.4,2.1,2.4,3.7,5.7,4.7,3.9,3.3,2.9,2.2,2.4,2.5,2.2,1.7,1.2,0.8,0.5,0.4,,,0.6,11.6,,,,120909.0,,,,0.9,18.8,,,27.4,114545.0
309,1.9,63.7,,,0.6,5.4,,,,,1.2,31.4,,,1.3,39.9,3.5,3.1,2.8,3.4,5.9,4.5,3.9,2.9,3.4,3.6,3.6,2.6,3.2,2.7,2.1,1.5,1.1,1.2,,,1.9,48.5,,,8.8,,,1.7,42.8,,,3.0,2.8,3.0,3.7,5.2,4.4,3.2,2.7,2.4,2.4,2.3,2.9,2.4,1.6,1.3,0.9,0.6,0.5,,,0.6,13.4,,,,124331.0,,,,1.1,21.6,,,22.9,121581.0
310,26.5,2.5,,,0.4,4.0,,,,,0.8,38.3,,,0.9,40.9,3.2,2.6,2.6,2.7,3.9,4.0,3.5,3.3,3.3,3.5,3.3,2.6,3.1,2.8,1.9,1.4,1.3,1.7,,,1.8,44.4,,,19.5,,,1.4,44.4,,,3.3,2.6,2.2,2.9,4.4,4.5,3.5,3.2,3.4,3.5,3.2,2.9,3.0,2.2,1.7,1.2,0.8,0.7,,,0.5,15.7,,,,144004.0,,,,0.7,20.1,,,49.5,142292.0
311,40.0,1.0,,,0.3,4.1,,,,,0.8,30.2,,,0.8,54.8,3.7,2.5,2.4,2.8,3.8,3.8,3.5,3.6,3.4,3.5,3.3,2.8,3.1,2.6,1.7,1.4,1.4,1.7,,,1.6,50.6,,,15.8,,,1.3,46.1,,,3.5,3.1,2.5,3.0,4.0,3.9,3.6,3.4,3.2,3.4,3.3,3.2,2.8,2.3,1.3,1.2,0.9,0.9,,,0.4,15.3,,,,207025.0,,,,0.7,21.8,,,41.2,198239.0
312,22.5,2.3,,,0.3,3.3,,,,,0.8,28.9,,,0.8,35.4,5.5,4.3,3.2,2.9,3.8,3.4,3.0,3.0,2.6,2.2,2.3,4.3,2.4,2.5,1.2,1.1,1.0,1.3,,,1.6,57.9,,,12.7,,,1.2,38.5,,,6.0,4.3,3.6,3.3,3.5,3.6,3.3,3.0,2.5,2.5,2.3,4.7,2.4,2.0,1.1,0.8,0.5,0.7,,,0.4,12.1,,,,220187.0,,,,1.0,33.6,,,60.3,229332.0
313,16.9,9.8,,,0.6,4.4,,,,,1.3,37.5,,,1.0,53.1,3.1,2.3,2.5,2.7,3.0,3.2,2.9,3.2,3.3,3.5,3.5,2.7,3.8,4.0,2.7,2.9,2.0,2.5,,,2.1,45.5,,,16.5,,,2.2,47.0,,,3.2,2.9,2.3,2.6,3.9,2.5,2.7,2.4,2.8,3.1,3.2,2.8,2.7,3.0,1.8,1.9,1.3,1.2,,,0.6,23.3,,,,127081.0,,,,1.0,19.9,,,53.8,127409.0
314,9.6,32.8,,,0.4,4.2,,,,,0.8,37.0,,,0.9,41.7,3.9,3.4,2.9,3.7,4.3,4.1,3.5,3.4,3.1,3.1,3.2,3.6,3.1,2.5,1.5,1.5,0.9,1.3,,,1.5,48.5,,,14.2,,,1.2,42.9,,,4.0,3.4,3.3,3.2,3.9,3.7,3.5,3.0,2.5,2.6,2.5,3.4,2.5,2.0,1.5,1.0,0.6,0.6,,,0.4,13.3,,,,197365.0,,,,0.9,25.7,,,40.4,195428.0
315,18.3,3.5,,,0.3,3.6,,,,,0.9,40.9,,,0.8,50.5,3.5,2.5,2.2,2.5,3.7,3.4,3.4,3.0,3.1,3.3,3.6,2.9,3.6,3.2,2.4,1.7,1.4,2.0,,,1.7,48.4,,,10.0,,,1.4,46.4,,,3.9,3.2,2.6,2.9,3.6,3.2,2.9,3.0,3.0,3.0,3.2,3.0,3.2,2.9,1.8,1.5,0.9,1.0,,,0.5,18.7,,,,197678.0,,,,0.7,22.0,,,65.2,192068.0
316,1.4,73.6,,,0.7,6.7,,,,,1.0,15.8,,,1.2,30.7,3.4,3.1,3.0,3.5,5.1,4.0,4.0,4.1,4.0,4.5,3.3,2.7,3.2,2.5,1.7,1.4,1.3,0.9,,,2.2,54.3,,,21.0,,,3.1,47.8,,,3.5,3.5,3.4,3.6,4.0,3.1,2.7,2.3,2.8,2.7,2.7,3.2,2.0,1.6,1.2,0.9,0.3,0.4,,,0.6,12.4,,,,101022.0,,,,1.6,23.6,,,2.8,103064.0
317,1.6,85.3,,,0.4,4.7,,,,,0.9,24.5,,,1.0,51.4,2.9,3.0,3.0,3.4,4.4,4.0,3.4,3.8,4.0,3.8,3.9,2.8,3.7,3.1,2.4,1.7,1.2,1.3,,,1.7,49.1,,,8.2,,,1.6,47.7,,,3.0,2.8,2.8,3.2,3.8,3.3,2.6,3.3,2.7,2.9,2.5,3.0,2.4,2.0,1.8,1.1,0.8,0.5,,,0.4,15.8,,,,176485.0,,,,0.8,21.1,,,3.1,176425.0
318,4.9,61.7,,,0.3,4.2,,,,,0.7,31.2,,,0.7,39.8,3.0,3.4,3.0,3.3,3.7,3.6,3.3,3.6,3.5,3.9,3.9,3.1,3.9,3.2,2.1,1.4,1.1,1.3,,,1.9,41.7,,,9.1,,,1.3,48.5,,,3.4,3.3,3.2,3.1,3.4,2.9,2.7,2.9,2.8,2.8,3.1,3.1,2.8,2.4,1.5,1.1,0.6,0.6,,,0.4,15.3,,,,227899.0,,,,0.7,23.3,,,22.5,211990.0
355,7.1,2.7,,,1.7,3.2,,,,,4.1,82.6,,,4.1,15.4,3.2,0.6,0.6,2.7,8.0,7.3,4.5,6.2,1.1,2.1,1.2,1.8,3.4,2.2,1.3,2.1,0.5,0.5,,,10.7,26.9,,,7.7,,,5.1,36.2,,,5.4,2.1,2.6,0.5,5.3,5.5,7.6,4.1,2.1,1.6,2.3,1.6,2.7,1.7,3.6,1.3,,0.8,,,3.6,13.9,,,,5314.0,,,,3.6,17.9,,,78.7,5036.0
356,2.0,55.2,,,1.8,4.9,,,,,4.0,29.6,,,2.7,21.5,3.9,3.5,3.0,4.8,5.6,3.6,4.7,4.3,5.0,3.5,2.4,3.5,3.5,3.6,2.5,0.7,0.9,0.3,,,6.6,30.5,,,16.1,,,6.5,48.5,,,4.1,4.4,2.7,3.2,1.8,1.9,2.7,2.3,2.9,1.7,1.8,3.8,1.9,2.4,1.3,1.1,0.4,0.2,,,1.7,13.3,,,,10932.0,,,,4.0,26.7,,,25.5,8556.0
401,15.3,8.5,,,0.4,4.2,,,,,0.9,44.4,,,0.9,39.1,2.1,1.7,1.8,3.4,7.1,6.2,4.1,2.8,2.8,2.9,2.7,1.8,2.3,2.4,1.7,1.3,0.9,1.2,,,1.4,37.6,,,26.9,,,1.1,40.0,,,2.5,1.9,2.1,3.5,7.2,6.5,5.2,3.6,3.4,3.0,2.6,2.0,2.3,1.7,1.3,1.0,0.6,0.5,,,0.5,12.6,,,,179467.0,,,,0.7,14.1,,,46.4,191105.0
402,35.5,3.8,,,0.4,3.3,,,,,1.0,38.4,,,1.2,53.4,2.8,1.9,2.1,2.5,5.1,4.9,4.5,3.9,3.4,2.7,3.0,2.3,2.7,2.2,1.7,1.4,0.9,1.0,,,1.8,41.5,,,31.4,,,1.4,37.6,,,2.8,2.5,1.8,2.8,4.9,5.1,5.3,5.3,4.1,3.5,2.8,2.3,2.5,1.9,1.5,1.1,0.6,0.3,,,0.6,12.6,,,,148787.0,,,,0.9,17.2,,,26.7,145170.0
