boroct2020,boroct2010,ratio
005000100,005000100,1.000000000000000
005000200,005000200,1.000000000000000
005000400,005000400,1.000000000000000
005001600,005001600,1.000000000000000
005001901,005001900,0.245696400625978
005001902,005001900,0.754303599374022
005001903,005001900,0.000000000000000
005001904,005001900,0.000000000000000
005002001,005002000,0.523193219562479
005002002,005002000,0.476806780437521
005002300,005002300,1.000000000000000
005002400,005002400,1.000000000000000
005002500,005002500,1.000000000000000
005002701,005002701,1.000000000000000
005002702,005002702,1.000000000000000
005002800,005002800,1.000000000000000
005003100,005003100,1.000000000000000
005003300,005003300,1.000000000000000
005003500,005003500,1.000000000000000
005003700,005003700,1.000000000000000
005003800,005003800,1.000000000000000
005003900,005003900,1.000000000000000
005004001,005004001,1.000000000000000
005004100,005004100,1.000000000000000
005004200,005004200,1.000000000000000
005004300,005004300,1.000000000000000
005004400,005004400,1.000000000000000
005004600,005004600,1.000000000000000
005004800,005004800,1.000000000000000
005005001,005005001,1.000000000000000
005005002,005005002,1.000000000000000
005005100,005005100,1.000000000000000
005005200,005005200,1.000000000000000
005005300,005005300,1.000000000000000
005005400,005005400,1.000000000000000
005005600,005005600,1.000000000000000
005005902,005005902,1.000000000000000
005006000,005006000,1.000000000000000
005006000,005021800,0.000000000000000
005006100,005006100,1.000000000000000
005006200,005006200,1.000000000000000
005006301,005006300,1.000000000000000
005006302,005006300,0.000000000000000
005006400,005006400,1.000000000000000
005006500,005006500,1.000000000000000
005006700,005006700,1.000000000000000
005006800,005006800,1.000000000000000
005006900,005006900,1.000000000000000
005007000,005007000,1.000000000000000
005007100,005007100,1.000000000000000
005007200,005007200,1.000000000000000
005007300,005007300,1.000000000000000
005007400,005007400,1.000000000000000
005007500,005007500,1.000000000000000
005007600,005007600,1.000000000000000
005007700,005007700,1.000000000000000
005007800,005007800,1.000000000000000
005007800,005009600,0.000000000000000
005007900,005007900,1.000000000000000
005008300,005008300,1.000000000000000
005008400,005008400,1.000000000000000
005008500,005008500,1.000000000000000
005008600,005008600,1.000000000000000
005008700,005008700,1.000000000000000
005008900,005008900,1.000000000000000
005009000,005009000,1.000000000000000
005009000,005011000,0.000000000000000
005009200,005009200,1.000000000000000
005009301,005009300,0.862649465072372
005009302,005009300,0.137350534927627
005009600,005009600,1.000000000000000
005009800,005009800,1.000000000000000
005011000,005011000,0.019867549668874
005011502,005011502,1.000000000000000
005011701,005011700,1.000000000000000
005011702,005011700,0.000000000000000
005011800,005011800,1.000000000000000
005011800,005013800,0.000000000000000
005011900,005011900,1.000000000000000
005012101,005012101,1.000000000000000
005012102,005012102,1.000000000000000
005012300,005012300,1.000000000000000
005012500,005012500,1.000000000000000
005012701,005012701,1.000000000000000
005012901,005012901,1.000000000000000
005013000,005013000,1.000000000000000
005013100,005013100,1.000000000000000
005013200,005013200,1.000000000000000
005013300,005013300,1.000000000000000
005013500,005013500,1.000000000000000
005013800,005013800,1.000000000000000
005014100,005014100,1.000000000000000
005014300,005014300,1.000000000000000
005014400,005011000,0.980132450331126
005014400,005014400,1.000000000000000
005014500,005014500,1.000000000000000
005014701,005014701,1.000000000000000
005014702,005014702,1.000000000000000
005014900,005014900,1.000000000000000
005015100,005015100,1.000000000000000
005015200,005015200,1.000000000000000
005015300,005015300,1.000000000000000
005015500,005015500,1.000000000000000
005015700,005015700,1.000000000000000
005015800,005015800,1.000000000000000
005015900,005015900,1.000000000000000
005016000,005016000,1.000000000000000
005016100,005016100,1.000000000000000
005016200,005016200,1.000000000000000
005016300,005016300,1.000000000000000
005016400,005016400,1.000000000000000
005016500,005016500,1.000000000000000
005016600,005016600,1.000000000000000
005016700,005016700,1.000000000000000
005016900,005016900,1.000000000000000
005017100,005017100,1.000000000000000
005017300,005017300,1.000000000000000
005017500,005017500,1.000000000000000
005017701,005017701,1.000000000000000
005017702,005017702,1.000000000000000
005017901,005017901,1.000000000000000
005017902,005017902,1.000000000000000
005018101,005018101,1.000000000000000
005018102,005018102,1.000000000000000
005018301,005018301,1.000000000000000
005018302,005018302,1.000000000000000
005018400,005018400,1.000000000000000
005018501,005018500,0.268416822930619
005018502,005018500,0.731583177069381
005018900,005018900,1.000000000000000
005019300,005019300,1.000000000000000
005019400,005019400,1.000000000000000
005019500,005019500,1.000000000000000
005019700,005019700,1.000000000000000
005019900,005019900,1.000000000000000
005020000,005020000,1.000000000000000
005020100,005020100,1.000000000000000
005020200,005020200,1.000000000000000
005020400,005020400,1.000000000000000
005020501,005020501,1.000000000000000
005020501,005021100,0.000000000000000
005020502,005020502,1.000000000000000
005020601,005020601,1.000000000000000
005020900,005020900,1.000000000000000
005021001,005021001,1.000000000000000
005021002,005021002,1.000000000000000
005021100,005021100,1.000000000000000
005021200,005021200,1.000000000000000
005021301,005021301,1.000000000000000
005021302,005021302,1.000000000000000
005021501,005021501,1.000000000000000
005021502,005021502,1.000000000000000
005021601,005021601,1.000000000000000
005021602,005021602,1.000000000000000
005021700,005021700,1.000000000000000
005021800,005021800,1.000000000000000
005021900,005021900,1.000000000000000
005022000,005022000,1.000000000000000
005022101,005022101,1.000000000000000
005022102,005022102,1.000000000000000
005022200,005022200,1.000000000000000
005022300,005022300,1.000000000000000
005022401,005022401,1.000000000000000
005022403,005022403,1.000000000000000
005022404,005022404,1.000000000000000
005022500,005022500,1.000000000000000
005022701,005022701,1.000000000000000
005022702,005022702,1.000000000000000
005022703,005022703,1.000000000000000
005022800,005022800,1.000000000000000
005022901,005022901,1.000000000000000
005022902,005022902,1.000000000000000
005023000,005023000,1.000000000000000
005023100,005023100,1.000000000000000
005023200,005023200,1.000000000000000
005023301,005023301,1.000000000000000
005023302,005023302,1.000000000000000
005023501,005023501,1.000000000000000
005023502,005023502,1.000000000000000
005023600,005023600,1.000000000000000
005023702,005023702,1.000000000000000
005023703,005023703,1.000000000000000
005023704,005023704,1.000000000000000
005023800,005023800,1.000000000000000
005023900,005023900,1.000000000000000
005024000,005024000,1.000000000000000
